All offenses,Year,Population,Violent crime,Violent crime rate ,Murder and nonnegligent manslaughter,Murder and nonnegligent manslaughter rate ,Rape (revised definition),Rape (revised definition) rate,Rape (legacy definition),Rape (legacy definition) rate,Robbery,Robbery rate ,Aggravated assault,Aggravated assault rate ,Property crime,Property crime rate ,Burglary,Burglary rate ,Larceny- theft,Larceny- theft rate ,Motor vehicle theft,Motor vehicle theft rate 
11876669.0,2001,285317559,1439480.0,504,16037.0,5.6,0.0,0,90863.0,31,423557.0,148,909023.0,318,10437189.0,3658,2116531.0,741,7092267.0,2485,1228391.0,430.5
11878954.0,2002,287973924,1423677.0,494,16229.0,5.6,0.0,0,95235.0,33,420806.0,146,891407.0,309,10455277.0,3630,2151252.0,747,7057379.0,2450,1246646.0,432.9
11826538.0,2003,290788976,1383676.0,475,16528.0,5.7,0.0,0,93883.0,32,414235.0,142,859030.0,295,10442862.0,3591,2154834.0,741,7026802.0,2416,1261226.0,433.7
11679474.0,2004,293656842,1360088.0,463,16148.0,5.5,0.0,0,95089.0,32,401470.0,136,847381.0,288,10319386.0,3514,2144446.0,730,6937089.0,2362,1237851.0,421.5
11565499.0,2005,296507061,1390745.0,469,16740.0,5.6,0.0,0,94347.0,31,417438.0,140,862220.0,290,10174754.0,3431,2155448.0,726,6783447.0,2287,1235859.0,416.8
11454724.0,2006,299398484,1435123.0,479,17309.0,5.8,0.0,0,94472.0,31,449246.0,150,874096.0,292,10019601.0,3346,2194993.0,733,6626363.0,2213,1198245.0,400.2
11305182.0,2007,301621157,1422970.0,471,17128.0,5.7,0.0,0,92160.0,30,447324.0,148,866358.0,287,9882212.0,3276,2190198.0,726,6591542.0,2185,1100472.0,364.9
11168613.0,2008,304059724,1394461.0,458,16465.0,5.4,0.0,0,90750.0,29,443563.0,145,843683.0,277,9774152.0,3214,2228887.0,733,6586206.0,2166,959059.0,315.4
10662956.0,2009,307006550,1325896.0,431,15399.0,5.0,0.0,0,89241.0,29,408742.0,133,812514.0,264,9337060.0,3041,2203313.0,717,6338095.0,2064,795652.0,259.2
10363873.0,2010,309330219,1251248.0,404,14722.0,4.8,0.0,0,85593.0,27,369089.0,119,781844.0,252,9112625.0,2945,2168459.0,701,6204601.0,2005,739565.0,239.1
10258748.0,2011,311587816,1206005.0,387,14661.0,4.7,0.0,0,84175.0,27,354746.0,113,752423.0,241,9052743.0,2905,2185140.0,701,6151095.0,1974,716508.0,230.0
10219049.0,2012,313873685,1217057.0,387,14856.0,4.7,0.0,0,85141.0,27,355051.0,113,762009.0,242,9001992.0,2868,2109932.0,672,6168874.0,1965,723186.0,230.4
9820190.0,2013,316497531,1168298.0,369,14319.0,4.5,113695.0,35,82109.0,25,345093.0,109,726777.0,229,8651892.0,2733,1932139.0,610,6019465.0,1901,700288.0,221.3
9362032.0,2014,318907401,1153022.0,361,14164.0,4.4,118027.0,37,84864.0,26,322905.0,101,731089.0,229,8209010.0,2574,1713153.0,537,5809054.0,1821,686803.0,215.4
9223425.0,2015,320896618,1199310.0,373,15883.0,4.9,126134.0,39,91261.0,28,328109.0,102,764057.0,238,8024115.0,2500,1587564.0,494,5723488.0,1783,713063.0,222.2
9178692.0,2016,323405935,1250162.0,386,17413.0,5.4,132414.0,40,96970.0,30,332797.0,102,802982.0,248,7928530.0,2451,1516405.0,468,5644835.0,1745,767290.0,237.3
8930905.0,2017,325147121,1247917.0,383,17294.0,5.3,135666.0,41,99708.0,30,320596.0,98,810319.0,249,7682988.0,2362,1397045.0,429,5513000.0,1695,772943.0,237.7
8429081.0,2018,326687501,1209997.0,370,16374.0,5.0,143765.0,44,101363.0,31,281278.0,86,810982.0,248,7219084.0,2209,1235013.0,378,5232167.0,1601,751904.0,230.2
8205464.0,2019,328329953,1210229.0,368,16669.0,5.1,143224.0,43,103060.0,31,268483.0,81,822017.0,250,6995235.0,2130,1118096.0,340,5152267.0,1569,724872.0,220.8
7729734.0,2020,329484123,1277696.0,387,21570.0,6.5,126430.0,38,91021.0,27,243600.0,73,921505.0,279,6452038.0,1958,1035314.0,314,4606324.0,1398,810400.0,246.0
